name,type,action,range,duration,resistance,cost,description
Affliction,Attack,Standard,Close,Instant,Fort. or Will,1 per rank,"You can impose some debilitating condition or conditions on a target by making a close attack. You set the conditions your Affliction causes at each degree when you acquire it and they may not be changed. Higher degree conditions replace lower degree conditions and do not stack with them. See the possible conditions for each degree under the Affliction Resistance Check table. The target resists with Fortitude or Will defense (chosen when you take the effect): AFFLICTION RESISTANCE CHECK
Fortitude or Will vs. DC [Affliction rank + 10]
Success: No effect.
Failure (one degree): The target is dazed, entranced, fatigued, hindered, impaired, or vulnerable (choose one). Potential descriptors include coughing or sneezing, creeping mental influence, drowsiness, euphoria, fear, itchiness, lethargy, nausea, pain, or tipsiness.
Failure (two degrees): The target is compelled, defenseless, disabled, exhausted, immobile, prone, or stunned (choose one). Potential descriptors include agonizing pain, confusion, ecstasy, momentary emotional or mental influence, paralysis, seizure, terror, or vomiting.
Failure (three degrees): The target is asleep, controlled, incapacitated, paralyzed, transformed or unaware (choose one).
The target of an Affliction makes a resistance check at the end of each of his turns to remove first and second degree conditions. Third degree conditions require a minute of recovery time or outside aid, such as the Treatment skill or Healing effect (DC 10 + rank).
The exact nature and descriptors of the Affliction are up to you, chosen when you acquire the effect, with the GM’s approval; some examples are provided, but feel free to make up your own.
"
Alternate Form,Varies,Varies,Varies,Varies,,See description,
Blast,Attack,Standard,Ranged,Instant,Toughness,2 per rank,
Burrowing,Movement,Free,Personal,Sustained,,1 per rank,
Communication,Sensory,Free,Rank,Sustained,,4 per rank,
Comprehend,Sensory,None,Personal,Permanent,,2 per rank,
Concealment,Sensory,Free,Personal,Sustained,,2 per rank,
Create,Control,Standard,Ranged,Sustained,,2 per rank,
Damage,Attack,Standard,Close,Instant,Toughness,1 per rank,
Dazzle,Attack,Standard,Ranged,Instant,Fort. or Will,2 per rank,
Deflect,Defense,Standard,Ranged,Instant,,1 per rank,
Duplication,Control,Standard,Close,Sustained,,3 per rank,
Element Control,Control,Standard,Perception,Sustained,Strength,2 per rank,
Elongation,General,Free,Personal,Sustained,,1 per rank,
Energy Absorption,General,Free,Personal,Sustained,,See description,
Energy Aura,Attack,Reaction,Close,Instant,Toughness,4 per rank,
Energy Control,Attack,Standard,Ranged,Instant,Toughness,2 per rank,
Enhanced Trait,General,Free,Personal,Sustained,,As base trait,
Environment,Control,Standard,Rank,Sustained,,1-2 per rank,
Extra Limbs,General,None,Personal,Permanent,,1 per rank,
Feature,General,None,Personal,Permanent,,1 per rank,
Flight,Movement,Free,Personal,Sustained,,2 per rank,
Force Field,Defense,Free,Personal,Sustained,,1 per rank,
Growth,General,Free,Personal,Sustained,,2 per rank,
Healing,General,Standard,Close,Instant,,2 per rank,
Illusion,Control,Standard,Perception,Sustained,Awareness,1-5 per rank,
Immortality,Defense,None,Personal,Permanent,,2 per rank,
Immunity,Defense,None,Personal,Permanent,,1 per rank,
Insubstantial,General,Free,Personal,Sustained,,5 per rank,
Invisibility,Sensory,Free,Personal,Sustained,,4 or 8 points,
Leaping,Movement,Free,Personal,Instant,,1 per rank,
Luck Control,Control,Reaction,Perception,Instant,,3 per rank,
Magic,Attack,Standard,Ranged,Instant,Toughness,2 per rank,
Mental Blast,Attack,Standard,Perception,Instant,Will,4 per rank,
Mimic,General,Move,Personal,Sustained,,8 per rank,
Mind Control,Attack,Standard,Perception,Instant,Will,4 per rank,
Mind Reading,Sensory,Standard,Perception,Sustained,Will,2 per rank,
Morph,General,Free,Personal,Sustained,,5 per rank,
Move Object,Control,Standard,Ranged,Sustained,Strength,2 per rank,
Movement,Movement,Free,Personal,Sustained,,2 per rank,
Nullify,Attack,Standard,Ranged,Instant,Rank/Will,1 per rank,
Power-Lifting,General,Free,Personal,Sustained,,1 per rank,
Protection,Defense,None,Personal,Permanent,,1 per rank,
Quickness,General,Free,Personal,Sustained,,1 per rank,
Regeneration,Defense,None,Personal,Permanent,,1 per rank,
Remote Sensing,Sensory,Free,Rank,Sustained,,1-5 per rank,
Senses,Sensory,None,Personal,Permanent,,1 per rank,
Shapeshift,General,Move,Personal,Sustained,,8 per rank,
Shrinking,General,Free,Personal,Sustained,,2 per rank,
Sleep,Attack,Standard,Ranged,Instant,Fortitude,2 per rank,
Snare,Attack,Standard,Ranged,Instant,Dodge,3 per rank,
Speed,Movement,Free,Personal,Sustained,,1 per rank,
Strike,Attack,Standard,Close,Instant,Toughness,1 per rank,
Suffocation,Attack,Standard,Ranged,Instant,Fortitude,4 per rank,
Summon,Control,Standard,Close,Sustained,,2 per rank,
Super-Speed,See description,Free,Personal,See description,,3 per rank,
Swimming,Movement,Free,Personal,Sustained,,1 per rank,
Teleport,Movement,Move,Rank,Instant,,2 per rank,
Transform,Control,Standard,Close,Sustained,,2-5 per rank,
Variable,General,Standard,Personal,Sustained,,7 per rank,
Weaken,Attack,Standard,Close,Instant,Fort or Will,1 per rank,
